key,estimated_views
en.wikipedia/George_Chorpenning,13675
de.wikipedia/Der_Nachsommer,13485
en.wikipedia/Wikipedia_talk:Why_was_the_page_I_created_deleted?,13217
en.wikipedia/Apple_Network_Server,13159
de.wikipedia/Main_Page,12788
dsb.wikipedia/Main_Page,12788
en.wikipedia/Wikipedia,12492
en.wikipedia/Darth_Vader,12151
en.wikipedia/Spendthrift_trust,12121
en.wikipedia/Community_Hospital_North,11829
de.wikipedia/Special:MyPage/toolserverhelferleinconfig.js,11781
en.wikipedia/Alternative_media_(U.S._political_right),11745
en.wikipedia/Ann_Pettifor,11386
en.wikipedia/Troy,11303
en.wikipedia/ISBN_(identifier),11267
en.wikipedia/Sea_Peoples,11250
ar.wikipedia/الأردن,11205
en.wikipedia/Black_hole,11183
de.wikipedia/Byte,10955
en.wikipedia/Always_a_Witch,10928
en.wikipedia/Diamond_(gemstone),10923
de.wikipedia/Ext3,10854
el.wikipedia/Πύλη:Κύρια,10849
commons.wikimedia/Special:Search,10766
en.wikipedia/P._D._James,10693
en.wikipedia/Barack_Obama,10133
en.wikipedia/Raindrop_cake,10033
en.wikipedia/List_of_presidents_of_the_United_States,9803
en.wikipedia/George_W._Bush,9521
en.wikipedia/Lilith,9512
en.wikipedia/Louis_Prima,9445
en.wikipedia/Biggest_ball_of_twine,9378
en.wikipedia/Mauritius,9120
en.wikipedia/Bill_Clinton,9092
en.wikipedia/Archibald_Cox,8576
en.wikipedia/Negative_number,8574
de.wikipedia/Gedenkmünzen_der_Bundesrepublik_Deutschland,8519
"en.wikipedia/I,_Robot_(film)",8262
en.wikipedia/Aptoide,8242
en.wikipedia/Keychain,8135
de.wikipedia/Erster_Koalitionskrieg,8115
en.wikipedia/GE_Capital_Rail_Services,8048
en.wikipedia/Depraved-heart_murder,8019
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches,7996
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2020–2022),7954
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2010–2019),7923
en.wikipedia/Almojábana,7570
en.wikipedia/Stackdriver,7387
en.wikipedia/Essiac,7351
en.wikipedia/Utsuro-bune,7311
en.wikipedia/Kevin_Bacon,7160
en.wikipedia/List_of_the_United_States_National_Park_System_official_units,6911
en.wikipedia/Achelousaurus,6905
en.wikipedia/Glossary_of_music_terminology,6829
en.wikipedia/English_Wikipedia,6809
en.wikipedia/Google,6769
en.wikipedia/Brooklyn,6751
cs.wikipedia/Moravěves,6457
en.wikipedia/Squid_Game_season_2,6432
en.wikipedia/Indian_palm_squirrel,6427
en.wikipedia/Copernican_heliocentrism,6358
en.wikipedia/Charbel_Makhluf,6203
en.wikipedia/United_States_Senate,6160
en.wikipedia/List_of_woodwind_instruments,6153
en.wikipedia/Garden_of_the_Gods,6139
en.wikipedia/India,6045
en.wikipedia/Brian_Greene,5851
en.wikipedia/Greek_alphabet,5835
en.wikipedia/The_Beatles'_recording_sessions,5817
"en.wikipedia/\"\\\"Hello,_World!\\\"_program\"",5777
en.wikipedia/Bar,5771
en.wikipedia/Death_mask,5675
en.wikipedia/Carol_Lynley,5664
en.wikipedia/Foo,5657
de.wikipedia/Transaktion_(Informatik),5618
en.wikipedia/Java_(programming_language),5612
cs.wikipedia/Hlavní_strana,5522
de.wikipedia/Fragmentierung_(Dateisystem),5446
de.wikipedia/OpenServer,5413
en.wikipedia/List_of_prime_numbers,5411
de.wikipedia/Identitätskarte_(Schweiz),5399
en.wikipedia/Phenazepam,5383
en.wikipedia/Wiki,5367
commons.wikimedia/File:2018_Lieder_am_See_-_Spider_Murphy_Gang_-_Willie_Duncan_-_by_2eight_-_DSC1097.jpg,5141
en.wikipedia/Anna_University,5108
en.wikipedia/Sergey_Lavrov,5061
en.wikipedia/Boryeong,5057
en.wikipedia/Two-port_network,5043
en.wikipedia/Help:Category,5005
en.wikipedia/Universe,5002
en.wikipedia/Lastovo,4989
en.wikipedia/Mythology_of_The_X-Files,4976
en.wikipedia/Rogier_van_der_Weyden,4897
en.wikipedia/World_War_I,4830
en.wikipedia/HI,4793
en.wikipedia/Synanon,4720
de.wikipedia/Harry_Potter_(Filmreihe),4674
en.wikipedia/File:Hysteria_by_Human_League_back_cover_tracklist.png,4659
en.wikipedia/Slavery_among_Native_Americans_in_the_United_States,4642
en.wikipedia/Greece,4584
en.wikipedia/Interpreting_contracts_in_English_law,4485
en.wikipedia/Expansion_of_the_universe,4456
en.wikipedia/Dentist,4453
en.wikipedia/Toshiko_Mori,4361
en.wikipedia/Sam_Rockwell,4302
en.wikipedia/Neurodiversity,4243
en.wikipedia/Ten_stages_of_genocide,4133
en.wikipedia/Awards_and_decorations_of_the_British_Armed_Forces,4116
en.wikipedia/The_Prodigy_(film),4105
en.wikipedia/Facebook,4099
en.wikipedia/Category:Articles_with_disputed_statements,4095
en.wikipedia/Encyclopedia,4025
