key,estimated_views
en.wikipedia/Deaths_in_2024,17203
en.wikipedia/Site,16767
en.wikipedia/List_of_accidents_and_incidents_involving_commercial_aircraft,16258
en.wikipedia/Donald_Trump,16156
"en.wikipedia/Lambert,_Hendricks_&_Ross",15630
en.wikipedia/Joe_Biden,15355
en.wikipedia/Duke_of_Gloucester,14712
en.wikipedia/Characters_of_the_Marvel_Cinematic_Universe:_A–L,13975
en.wikipedia/George_Chorpenning,13789
de.wikipedia/Der_Nachsommer,13663
en.wikipedia/Apple_Network_Server,13319
en.wikipedia/Wikipedia_talk:Why_was_the_page_I_created_deleted?,13225
de.wikipedia/Main_Page,12966
dsb.wikipedia/Main_Page,12961
en.wikipedia/Wikipedia,12501
en.wikipedia/Darth_Vader,12285
en.wikipedia/Spendthrift_trust,12162
en.wikipedia/Community_Hospital_North,11965
de.wikipedia/Special:MyPage/toolserverhelferleinconfig.js,11954
en.wikipedia/Alternative_media_(U.S._political_right),11905
en.wikipedia/Ann_Pettifor,11545
ar.wikipedia/الأردن,11426
en.wikipedia/ISBN_(identifier),11371
en.wikipedia/Black_hole,11336
en.wikipedia/Troy,11323
en.wikipedia/Sea_Peoples,11298
de.wikipedia/Byte,11137
en.wikipedia/Always_a_Witch,11090
en.wikipedia/Diamond_(gemstone),11057
de.wikipedia/Ext3,11033
el.wikipedia/Πύλη:Κύρια,11021
commons.wikimedia/Special:Search,10953
en.wikipedia/P._D._James,10756
en.wikipedia/Barack_Obama,10287
en.wikipedia/Raindrop_cake,10089
en.wikipedia/List_of_presidents_of_the_United_States,9889
en.wikipedia/George_W._Bush,9635
en.wikipedia/Lilith,9602
en.wikipedia/Biggest_ball_of_twine,9532
en.wikipedia/Louis_Prima,9526
en.wikipedia/Bill_Clinton,9248
en.wikipedia/Mauritius,9201
en.wikipedia/Archibald_Cox,8735
de.wikipedia/Gedenkmünzen_der_Bundesrepublik_Deutschland,8696
en.wikipedia/Negative_number,8643
en.wikipedia/Aptoide,8400
"en.wikipedia/I,_Robot_(film)",8367
de.wikipedia/Erster_Koalitionskrieg,8295
en.wikipedia/Keychain,8229
en.wikipedia/GE_Capital_Rail_Services,8161
en.wikipedia/Depraved-heart_murder,8155
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches,8083
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2020–2022),8041
en.wikipedia/List_of_Falcon_9_and_Falcon_Heavy_launches_(2010–2019),8015
en.wikipedia/Almojábana,7731
en.wikipedia/Essiac,7477
en.wikipedia/Stackdriver,7427
en.wikipedia/Utsuro-bune,7323
en.wikipedia/Kevin_Bacon,7252
en.wikipedia/Achelousaurus,7068
en.wikipedia/List_of_the_United_States_National_Park_System_official_units,6995
en.wikipedia/Glossary_of_music_terminology,6943
en.wikipedia/English_Wikipedia,6935
en.wikipedia/Brooklyn,6903
en.wikipedia/Google,6880
cs.wikipedia/Moravěves,6641
en.wikipedia/Indian_palm_squirrel,6528
en.wikipedia/Copernican_heliocentrism,6495
en.wikipedia/Squid_Game_season_2,6472
en.wikipedia/Charbel_Makhluf,6342
en.wikipedia/Garden_of_the_Gods,6251
en.wikipedia/List_of_woodwind_instruments,6240
en.wikipedia/United_States_Senate,6178
en.wikipedia/India,6149
en.wikipedia/Brian_Greene,6003
"en.wikipedia/\"\\\"Hello,_World!\\\"_program\"",5948
en.wikipedia/Greek_alphabet,5946
en.wikipedia/Bar,5926
en.wikipedia/The_Beatles'_recording_sessions,5843
en.wikipedia/Carol_Lynley,5811
en.wikipedia/Death_mask,5808
de.wikipedia/Transaktion_(Informatik),5792
en.wikipedia/Foo,5771
en.wikipedia/Java_(programming_language),5710
cs.wikipedia/Hlavní_strana,5707
de.wikipedia/Fragmentierung_(Dateisystem),5624
de.wikipedia/OpenServer,5590
de.wikipedia/Identitätskarte_(Schweiz),5577
en.wikipedia/List_of_prime_numbers,5496
en.wikipedia/Phenazepam,5443
en.wikipedia/Wiki,5377
commons.wikimedia/File:2018_Lieder_am_See_-_Spider_Murphy_Gang_-_Willie_Duncan_-_by_2eight_-_DSC1097.jpg,5342
en.wikipedia/Anna_University,5268
en.wikipedia/Boryeong,5208
en.wikipedia/Help:Category,5110
en.wikipedia/Sergey_Lavrov,5107
en.wikipedia/Lastovo,5079
en.wikipedia/Two-port_network,5062
en.wikipedia/Mythology_of_The_X-Files,5047
en.wikipedia/Universe,5019
en.wikipedia/Rogier_van_der_Weyden,4948
en.wikipedia/HI,4901
de.wikipedia/Harry_Potter_(Filmreihe),4852
en.wikipedia/World_War_I,4835
en.wikipedia/File:Hysteria_by_Human_League_back_cover_tracklist.png,4781
en.wikipedia/Synanon,4757
en.wikipedia/Greece,4695
en.wikipedia/Slavery_among_Native_Americans_in_the_United_States,4684
en.wikipedia/Interpreting_contracts_in_English_law,4587
en.wikipedia/Dentist,4585
en.wikipedia/Expansion_of_the_universe,4579
