key,estimated_views
en.wikipedia/Foo,5770
en.wikipedia/Java_(programming_language),5709
cs.wikipedia/Hlavní_strana,5706
de.wikipedia/Fragmentierung_(Dateisystem),5624
de.wikipedia/OpenServer,5587
de.wikipedia/Identitätskarte_(Schweiz),5576
en.wikipedia/List_of_prime_numbers,5495
en.wikipedia/Phenazepam,5442
en.wikipedia/Wiki,5375
commons.wikimedia/File:2018_Lieder_am_See_-_Spider_Murphy_Gang_-_Willie_Duncan_-_by_2eight_-_DSC1097.jpg,5340
en.wikipedia/Anna_University,5266
en.wikipedia/Boryeong,5207
en.wikipedia/Help:Category,5110
en.wikipedia/Sergey_Lavrov,5105
en.wikipedia/Lastovo,5077
en.wikipedia/Two-port_network,5062
en.wikipedia/Mythology_of_The_X-Files,5046
en.wikipedia/Universe,5019
en.wikipedia/Rogier_van_der_Weyden,4946
en.wikipedia/HI,4900
de.wikipedia/Harry_Potter_(Filmreihe),4851
en.wikipedia/World_War_I,4833
en.wikipedia/File:Hysteria_by_Human_League_back_cover_tracklist.png,4777
en.wikipedia/Synanon,4756
en.wikipedia/Greece,4692
en.wikipedia/Slavery_among_Native_Americans_in_the_United_States,4683
en.wikipedia/Interpreting_contracts_in_English_law,4585
en.wikipedia/Dentist,4584
en.wikipedia/Expansion_of_the_universe,4579
en.wikipedia/Toshiko_Mori,4381
en.wikipedia/Sam_Rockwell,4348
en.wikipedia/Neurodiversity,4311
en.wikipedia/Awards_and_decorations_of_the_British_Armed_Forces,4271
en.wikipedia/Category:Articles_with_disputed_statements,4240
en.wikipedia/Facebook,4222
en.wikipedia/Ten_stages_of_genocide,4158
en.wikipedia/Encyclopedia,4150
de.wikipedia/Topinambur,4132
en.wikipedia/The_Prodigy_(film),4128
de.wikipedia/Sicherheitsschuh,4100
"en.wikipedia/Christopher_Monckton,_3rd_Viscount_Monckton_of_Brenchley",4096
"commons.wikimedia/File:Calle_en_Colonia_Roma,_Cd._de_México.jpg",4007
